time,utilization
8,0
8.5,13
9,98
9.5,96
10,96
10.5,96
11,97
11.5,96
12,96
12.5,65
13,21
13.5,91
14,92
14.5,94
15,96
15.5,95
16,97
16.5,95
17,97
17.5,95
18,97
18.5,95
19,96
19.5,95
20,97
20.5,96
21,97
21.5,95
22,95
22.5,96
23,97
23.5,96
24,97
24.5,96
25,96
25.5,95
26,97
26.5,95
27,93
27.5,95
28,96
28.5,96
29,97
29.5,96
30,96
30.5,96
31,96
31.5,96
32,97
32.5,95
33,96
33.5,96
34,96
34.5,93
35,97
35.5,95
36,96
36.5,95
37,96
37.5,95
38,96
38.5,95
39,95
39.5,95
40,95
40.5,95
41,96
41.5,95
42,96
42.5,95
43,95
43.5,96
44,97
44.5,96
45,96
45.5,95
46,95
46.5,96
47,94
47.5,95
48,96
48.5,95
49,95
49.5,96
50,96
50.5,93
51,94
51.5,94
52,94
52.5,67
53,12
53.5,12
54,11
54.5,12
55,12
55.5,11
56,12
56.5,10
57,0
